src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.9,2024-05-07T23:01:11.638912+0200,53,3662,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:11.639078+0200,53,3665,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:11.639088+0200,53,3666,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:11.639174+0200,53,3663,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:11.668903+0200,53,4507,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:11.668919+0200,53,4509,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.736814+0200,53,3009,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.756122+0200,53,1029,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.756144+0200,53,3668,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.790660+0200,53,3664,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.793516+0200,53,1129,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.794757+0200,53,3661,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.794731+0200,53,3662,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.794840+0200,53,3667,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.820254+0200,53,3663,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.821393+0200,53,3666,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.821584+0200,53,3660,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:11.921735+0200,53,2532,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:11.922952+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:11.924078+0200,53,3476,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:12.050737+0200,53,3668,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.082828+0200,53,3660,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.084020+0200,53,3657,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.085261+0200,53,3656,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.085257+0200,53,3659,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.086415+0200,53,3661,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.299599+0200,53,3660,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.299612+0200,53,3661,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.319893+0200,53,3673,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.319872+0200,53,3666,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.319831+0200,53,3294,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:12.321238+0200,53,3664,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:12.335124+0200,53,2666,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:12.335103+0200,53,4507,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:12.335135+0200,53,1152,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:12.335175+0200,53,4509,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:12.414031+0200,53,3670,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:12.414039+0200,53,3666,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:12.414094+0200,53,3669,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:12.431656+0200,53,3663,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:12.486438+0200,53,3662,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:12.511776+0200,53,3665,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:12.513116+0200,53,3661,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:12.647537+0200,53,2532,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:12.650261+0200,53,3476,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:12.671929+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:12.675542+0200,53,2530,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:12.744747+0200,53,3665,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:12.747361+0200,53,3663,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:12.778354+0200,53,3664,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:12.778372+0200,53,3666,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.834419+0200,53,3662,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.835552+0200,53,3657,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.838017+0200,53,3658,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:12.867352+0200,53,3661,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.005462+0200,53,3294,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.021113+0200,53,1031,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.026467+0200,53,3660,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.081290+0200,53,4508,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.081281+0200,53,1028,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.099294+0200,53,4506,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.101843+0200,53,2666,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:13.144527+0200,53,3670,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:13.144575+0200,53,3664,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:13.144567+0200,53,1029,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:13.193695+0200,53,1129,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:13.219896+0200,53,3663,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:13.222850+0200,53,3667,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:13.224005+0200,53,3661,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:13.444103+0200,53,3663,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:13.446700+0200,53,1133,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:13.553377+0200,53,3659,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:13.557863+0200,53,3663,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:13.577317+0200,53,1025,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:13.579495+0200,53,1130,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:13.580695+0200,53,3657,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.660054+0200,53,3294,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.678128+0200,53,3661,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.681783+0200,53,3665,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:13.681803+0200,53,3664,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.736584+0200,53,1028,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.736548+0200,53,4648,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.736605+0200,53,4506,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.736564+0200,53,4507,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.759791+0200,53,1152,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.760134+0200,53,2675,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:13.766329+0200,53,2666,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:13.770857+0200,53,2533,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:13.770923+0200,53,3488,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:13.772253+0200,53,2529,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:13.775204+0200,53,1109,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:13.827545+0200,53,3667,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:13.827598+0200,53,3669,UDP
